[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] shared/utils/cacheKeys.parseCacheKey.__type.prefix (Property), defined in uptime-watcher/shared/utils/cacheKeys.ts, does not have any documentation
[warning] shared/utils/errorCatalog.ErrorCatalogInterface.database (Property), defined in uptime-watcher/shared/utils/errorCatalog.ts, does not have any documentation
[warning] shared/utils/errorCatalog.ErrorCatalogInterface.ipc (Property), defined in uptime-watcher/shared/utils/errorCatalog.ts, does not have any documentation
[warning] shared/utils/errorCatalog.ErrorCatalogInterface.monitors (Property), defined in uptime-watcher/shared/utils/errorCatalog.ts, does not have any documentation
[warning] shared/utils/errorCatalog.ErrorCatalogInterface.network (Property), defined in uptime-watcher/shared/utils/errorCatalog.ts, does not have any documentation
[warning] shared/utils/errorCatalog.ErrorCatalogInterface.sites (Property), defined in uptime-watcher/shared/utils/errorCatalog.ts, does not have any documentation
[warning] shared/utils/errorCatalog.ErrorCatalogInterface.system (Property), defined in uptime-watcher/shared/utils/errorCatalog.ts, does not have any documentation
[warning] shared/utils/errorCatalog.ErrorCatalogInterface.validation (Property), defined in uptime-watcher/shared/utils/errorCatalog.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingBackendContext (Interface), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingBackendContext.logger (Property), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingBackendContext.logger.__type.error (Property), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingBackendContext.operationName (Property), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingFrontendStore (Interface), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingFrontendStore.clearError (Property), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingFrontendStore.setError (Property), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/errorHandling.ErrorHandlingFrontendStore.setLoading (Property), defined in uptime-watcher/shared/utils/errorHandling.ts, does not have any documentation
[warning] shared/utils/jsonSafety.SafeJsonResult.data (Property), defined in uptime-watcher/shared/utils/jsonSafety.ts, does not have any documentation
[warning] shared/utils/jsonSafety.SafeJsonResult.error (Property), defined in uptime-watcher/shared/utils/jsonSafety.ts, does not have any documentation
[warning] shared/utils/jsonSafety.SafeJsonResult.success (Property), defined in uptime-watcher/shared/utils/jsonSafety.ts, does not have any documentation
[warning] shared/utils/logTemplates.createTemplateLogger.__type.debug (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.createTemplateLogger.__type.error (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.createTemplateLogger.__type.info (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.createTemplateLogger.__type.warn (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.SERVICE_LOGS.__type.MIGRATION_REGISTERED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.APPLICATION_FORWARDING_MONITOR_STATUS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.APPLICATION_FORWARDING_MONITOR_UP (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.APPLICATION_FORWARDING_MONITORING_STARTED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.APPLICATION_FORWARDING_MONITORING_STOPPED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.BACKGROUND_LOAD_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.EVENT_BUS_CREATED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.EVENT_BUS_EMISSION_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.EVENT_BUS_EMISSION_SUCCESS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.EVENT_BUS_LISTENER_REGISTERED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.EVENT_BUS_LISTENER_REMOVED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.EVENT_BUS_MIDDLEWARE_REMOVED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.EVENT_BUS_ONE_TIME_LISTENER (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_CHECK_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_INTERVALS_APPLIED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_AUTO_STARTING_SITE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_INTERVALS_SETTING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_NO_MONITORS_FOUND (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_SETUP_MONITORS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_SKIP_AUTO_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_SKIP_INDIVIDUAL (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_SKIP_NEW_INDIVIDUAL (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_MANAGER_VALID_MONITORS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.MONITOR_RESPONSE_TIME (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.OPERATION_COMPLETED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.OPERATION_TIMEOUT_SCHEDULED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.SITE_CACHE_MISS_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.DEBUG_LOGS.__type.SITE_LOADING_ERROR_IGNORED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_FORWARD_CACHE_INVALIDATION_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_FORWARD_MONITOR_DOWN_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_FORWARD_MONITOR_STATUS_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_FORWARD_MONITOR_UP_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_FORWARD_MONITORING_STARTED_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_FORWARD_MONITORING_STOPPED_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_INITIALIZATION_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_SYSTEM_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.APPLICATION_UPDATE_CHECK_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.DATABASE_INDEXES_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.DATABASE_SCHEMA_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.DATABASE_TABLES_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.DATABASE_VALIDATION_SETUP_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.HISTORY_BULK_INSERT_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.HISTORY_FETCH_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.HISTORY_LATEST_FETCH_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.HISTORY_MAPPER_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.HISTORY_PRUNE_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.MONITOR_MAPPER_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.SITE_BACKGROUND_LOAD_EMIT_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.SITE_HISTORY_LIMIT_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.SITE_INITIALIZATION_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.SITE_MAPPER_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.ERROR_LOGS.__type.SITE_MONITOR_REMOVAL_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.DATABASE_MONITOR_VALIDATION_MISSING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_ACTIVE_OPERATIONS_PARSE_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_CONFIG_UPDATE_FAILED_INSTANCE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_CONFIG_UPDATE_FAILED_TYPE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_FRESH_DATA_MISSING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_NOT_FOUND_CACHE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_NOT_MONITORING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_TYPE_UNKNOWN_CHECK (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_TYPE_UNKNOWN_DETAIL (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.MONITOR_TYPE_UNKNOWN_TITLE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.RECURSIVE_CALL_PREVENTED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.WARNING_LOGS.__type.SITE_NOT_FOUND_SCHEDULED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.APPLICATION_FORWARDING_MONITOR_STATUS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.APPLICATION_FORWARDING_MONITOR_UP (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.APPLICATION_FORWARDING_MONITORING_STARTED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.APPLICATION_FORWARDING_MONITORING_STOPPED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.BACKGROUND_LOAD_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.EVENT_BUS_CREATED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.EVENT_BUS_EMISSION_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.EVENT_BUS_EMISSION_SUCCESS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.EVENT_BUS_LISTENER_REGISTERED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.EVENT_BUS_LISTENER_REMOVED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.EVENT_BUS_MIDDLEWARE_REMOVED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.EVENT_BUS_ONE_TIME_LISTENER (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_CHECK_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_INTERVALS_APPLIED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_AUTO_STARTING_SITE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_INTERVALS_SETTING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_NO_MONITORS_FOUND (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_SETUP_MONITORS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_SKIP_AUTO_START (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_SKIP_INDIVIDUAL (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_SKIP_NEW_INDIVIDUAL (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_MANAGER_VALID_MONITORS (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.MONITOR_RESPONSE_TIME (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.OPERATION_COMPLETED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.OPERATION_TIMEOUT_SCHEDULED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.SITE_CACHE_MISS_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.debug.__type.SITE_LOADING_ERROR_IGNORED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_FORWARD_CACHE_INVALIDATION_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_FORWARD_MONITOR_DOWN_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_FORWARD_MONITOR_STATUS_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_FORWARD_MONITOR_UP_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_FORWARD_MONITORING_STARTED_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_FORWARD_MONITORING_STOPPED_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_INITIALIZATION_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_SYSTEM_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.APPLICATION_UPDATE_CHECK_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.DATABASE_INDEXES_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.DATABASE_SCHEMA_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.DATABASE_TABLES_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.DATABASE_VALIDATION_SETUP_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.HISTORY_BULK_INSERT_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.HISTORY_FETCH_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.HISTORY_LATEST_FETCH_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.HISTORY_MAPPER_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.HISTORY_PRUNE_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.MONITOR_MAPPER_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.SITE_BACKGROUND_LOAD_EMIT_ERROR (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.SITE_HISTORY_LIMIT_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.SITE_INITIALIZATION_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.SITE_MAPPER_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.errors.__type.SITE_MONITOR_REMOVAL_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.services (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.services.__type.MIGRATION_REGISTERED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.DATABASE_MONITOR_VALIDATION_MISSING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_ACTIVE_OPERATIONS_PARSE_FAILED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_CONFIG_UPDATE_FAILED_INSTANCE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_CONFIG_UPDATE_FAILED_TYPE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_FRESH_DATA_MISSING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_NOT_FOUND_CACHE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_NOT_MONITORING (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_TYPE_UNKNOWN_CHECK (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_TYPE_UNKNOWN_DETAIL (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.MONITOR_TYPE_UNKNOWN_TITLE (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.RECURSIVE_CALL_PREVENTED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/utils/logTemplates.LogTemplatesInterface.warnings.__type.SITE_NOT_FOUND_SCHEDULED (Property), defined in uptime-watcher/shared/utils/logTemplates.ts, does not have any documentation
[warning] shared/validation/schemas.MonitorSchemas.dns (Property), defined in uptime-watcher/shared/validation/schemas.ts, does not have any documentation
[warning] shared/validation/schemas.MonitorSchemas.http (Property), defined in uptime-watcher/shared/validation/schemas.ts, does not have any documentation
[warning] shared/validation/schemas.MonitorSchemas.ping (Property), defined in uptime-watcher/shared/validation/schemas.ts, does not have any documentation
[warning] shared/validation/schemas.MonitorSchemas.port (Property), defined in uptime-watcher/shared/validation/schemas.ts, does not have any documentation
[warning] shared/validation/schemas.HttpMonitor.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/validation/schemas.HttpMonitor.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/validation/schemas.HttpMonitor.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/validation/schemas.HttpMonitor.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
